episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.630152556999974,True,False
2,490.0,722,1107,0.1,0.023761358754536895,1.9263267659999883,True,False
3,640.0,550,1657,0.1,0.029827005210066,3.900343784000029,True,False
4,1080.0,774,2431,0.1,0.03472277455736396,6.558636773999979,True,False
5,640.0,585,3016,0.1,0.03366999125320363,9.30329523499995,True,False
6,350.0,580,3596,0.1,0.037985473179162066,11.910286968000037,True,False
7,480.0,520,4116,0.1,0.0369207620074471,13.80924104099995,True,False
8,390.0,467,4583,0.1,0.03730417164203165,15.530886420999991,True,False
9,310.0,399,4982,0.1,0.03481345600099303,16.998515440000006,True,False
10,430.0,484,5466,0.1,0.038566730937666514,18.78324085099996,True,False
11,330.0,441,5907,0.1,0.03804087506564842,20.40553356700002,True,False
12,610.0,801,6708,0.1,0.03535904425523007,23.978091243999984,True,False
13,440.0,460,7168,0.1,0.03530152135164193,26.005358333000004,True,False
14,500.0,668,7836,0.1,0.03624870175841504,28.393802192999942,True,False
15,480.0,518,8354,0.1,0.03524573628119258,30.30864003800002,True,False
16,460.0,647,9001,0.1,0.035373313121790824,32.622570036999946,True,False
17,410.0,504,9505,0.1,0.03795665902795181,34.46770414100001,True,False
18,580.0,552,10057,0.1,0.037479329837378166,37.03464534099999,True,False
19,1330.0,821,10878,0.1,0.03891394464526235,40.27990084700002,True,False
20,380.0,519,11397,0.1,0.042119571894335635,42.16164542299998,True,False
21,1370.0,819,12216,0.1,0.04019111200894524,45.08762108799999,True,False
22,290.0,455,12671,0.1,0.03665852834124415,46.75871752299997,True,False
23,380.0,449,13120,0.1,0.040899220973549956,48.58811871099999,True,False
24,1320.0,654,13774,0.1,0.040623439124505396,51.81436346099997,True,False
25,410.0,474,14248,0.1,0.04352932012866901,53.686052391999965,True,False
26,590.0,497,14745,0.1,0.04098859634025082,57.953844944000025,True,False
27,330.0,418,15163,0.1,0.04333143391592715,59.545457891999945,True,False
