episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.6515548590000435,True,False
2,490.0,722,1107,0.1,0.023761359215886506,1.985859919999939,True,False
3,640.0,550,1657,0.1,0.02982060965703146,4.017417618000081,True,False
4,1150.0,828,2485,0.1,0.03460632478632708,7.642740485000104,True,False
5,290.0,449,2934,0.1,0.03348986244444469,9.779540818999976,True,False
6,520.0,454,3388,0.1,0.036875112188250854,11.466885453000032,True,False
7,140.0,396,3784,0.1,0.03726397598199923,12.994485108999925,True,False
8,220.0,295,4079,0.1,0.0348303404075336,14.149587067000084,True,False
9,350.0,379,4458,0.1,0.033723118516469475,15.58694200900004,True,False
10,880.0,932,5390,0.1,0.03713081513737356,22.161558928999966,True,False
11,2350.0,647,6037,0.1,0.036239127267761455,25.039184550000073,True,False
12,610.0,587,6624,0.1,0.036800168663719476,27.205490230000123,True,False
13,360.0,488,7112,0.1,0.038516839624565764,29.112261722000085,True,False
14,730.0,612,7724,0.1,0.03759528401694291,31.364742518999947,True,False
15,620.0,574,8298,0.1,0.038449777472581895,33.4748139190001,True,False
16,700.0,653,8951,0.1,0.03982674095356848,36.55709168900012,True,False
17,520.0,682,9633,0.1,0.038698963649374876,39.444024362999926,True,False
18,440.0,466,10099,0.1,0.039563345791097604,41.19251160099998,True,False
19,140.0,271,10370,0.1,0.043376849546535486,42.29083152700014,True,False
20,290.0,335,10705,0.1,0.038786100753073004,43.610796975000085,True,False
21,360.0,449,11154,0.1,0.044228602310925326,45.29018784499999,True,False
22,420.0,479,11633,0.1,0.04146496189447741,47.104702649000046,True,False
23,840.0,665,12298,0.1,0.04260718093130244,50.06984067999997,True,False
24,800.0,684,12982,0.1,0.045269805593525024,53.48532196800011,True,False
25,620.0,884,13866,0.1,0.041971113411625384,57.29321449700001,True,False
26,330.0,453,14319,0.1,0.0412882349074744,61.32138839000004,True,False
27,1510.0,868,15187,0.1,0.04336893167947569,65.32994428400002,True,False
28,1520.0,818,16005,0.1,0.04901240596138849,68.48654667699998,True,False
29,540.0,588,16593,0.1,0.04955673908979512,70.68836624999994,True,False
30,350.0,373,16966,0.1,0.04626893651201039,72.14722197700007,True,False
31,1000.0,890,17856,0.1,0.05230981613521886,75.41048783299993,True,False
32,970.0,895,18751,0.1,0.05325688995136942,79.5346572200001,True,False
33,390.0,396,19147,0.1,0.051662244518861325,81.20641871499993,True,False
34,400.0,501,19648,0.1,0.05663093922304965,83.11388466400012,True,False
35,420.0,394,20042,0.1,0.05068721699205284,84.63933077000002,True,False
36,390.0,417,20459,0.1,0.05633080472202542,86.20690778199992,True,False
37,730.0,660,21119,0.1,0.052047535672670966,88.67713313700006,True,False
38,1240.0,740,21859,0.1,0.05874944911967661,91.91796820200011,True,False
39,260.0,414,22273,0.1,0.058996740965924874,93.98582339199993,True,False
40,1060.0,561,22834,0.1,0.05584256422173764,96.106831521,True,False
41,970.0,768,23602,0.1,0.06142827049916377,98.88021559599997,True,False
42,1200.0,712,24314,0.1,0.05931862457812335,101.412219306,True,False
43,600.0,730,25044,0.1,0.063648286835377,104.27877632800005,True,False
44,250.0,340,25384,0.1,0.05320759192109108,106.06764500200006,True,False
45,540.0,505,25889,0.1,0.05361095083773964,108.29568608599993,True,False
46,770.0,660,26549,0.1,0.06335873409654155,110.72980003700013,True,False
47,350.0,395,26944,0.1,0.05799636934328862,112.25710002799997,True,False
48,370.0,387,27331,0.1,0.05803541810018942,113.74736174600002,True,False
49,810.0,636,27967,0.1,0.05683976429977319,116.10581804599997,True,False
50,1220.0,589,28556,0.1,0.05840357479236617,118.64122120299999,True,False
51,570.0,445,29001,0.1,0.060449753392924056,123.21998430500003,True,False
52,2940.0,1148,30149,0.1,0.06729634037526902,127.36350515999993,True,False
53,510.0,520,30669,0.1,0.08105307677402519,129.33913678900012,True,False
